Nome/Razão Social;Data de Publicação do Ato;Nome do Município;UF
SNELL TELECOMUNICAÇÕES LTDA - ME;12/04/2011;Piracicaba;SP
S-NET Telecom LTDA ME;05/12/2016;Serra;ES
SNI TELECOM LTDA - ME;26/06/2009;Joaquim Távora;PR
SNT BANDA LARGA E INTERNET LTDA;01/11/2010;Volta Redonda;RJ
SOARES & AGUIAR  ELETRONICA LTDA ;20/01/2014;Vitória de Santo Antão;PE
SOARES & LIRA LTDA - ME;18/02/2011;Altamira;PA
SOARES & PAIXÃO LTDA - ME;17/03/2016;Marabá;PA
SOARES & PERUZZO LTDA - ME;06/02/2015;Dourados;MS
SOBRALNET SERVICOS E TELECOMUNICACOES LTDA - ME;30/05/2006;Sobral;CE
SOCIAL TELECOMUNICACOES LTDA - EPP;14/11/2016;São Paulo;SP
SOCRATES DOS SANTOS ARAUJO;01/12/2016;Maceió;AL
SOFT HOUSE SOLUÇÕES EM INFORMÁTICA LTDA;11/06/2007;Araguari;MG
SOFT LINE CONSULTORIA, REPRESENTAÇÃO & COMÉRCIO LTDA-ME;16/05/2006;Belém;PA
SOFT SYSTEM INFORMATICA LTDA;26/03/2013;Quirinópolis;GO
SOFTBIS TECNOLOGIA DE INFORMACAO LTDA;29/05/2015;Belo Horizonte;MG
SOFTCOMP COMERCIO SERVICOS TELECOMUNICACOES E INFORMATICA LTDA;06/09/2011;Salvador;BA
SOFTNET LTDA - ME;15/03/2017;Santa Inês;MA
SOFTTELECOM COMERCIO E SERVICO LTDA - ME;13/10/2016;Mogi Guaçu;SP
SOFTWAY INFORMATICA LTDA ME;06/02/2015;Maranguape;CE
SOFTWAY INTERNET E TELECOMUNICAÇÕES LTDA;17/11/2010;Mogi Guaçu;SP
SOKOLOSKI E SOKOLOSKI INFORMATICA LTDA;20/08/2010;Palmital;PR
SOL  TELECOM  COMERCIO  DE TELEFONIA  LTDA - ME;02/06/2017;Canindé;CE
SOL NET TELECOMUNICAÇÕES LTDA -ME;02/10/2013;Formiga;MG
SOL TELECOMUNICACOES LTDA;24/07/2008;Itapeva;SP
SOLANGE DE SOUZA FELIX - ME;29/06/2016;Itapororoca;PB
SOLANGE MARIA SILVA DANTAS - ME;04/01/2017;Fortaleza;CE
SOLANGE S DA SILVA INTERNET - ME ;28/10/2011;Santos;SP
SOLFT TELECOM LTDA ME;01/12/2009;Itaquaquecetuba;SP
SOLNET PRESTACAO DE SERVICOS DE INETRNET LTDA;11/04/2013;Cedro;CE
SOLUCAO NETWORK PROVEDOR EIRELI - ME;20/10/2011;Paranavaí;PR
SOLUCAO SERVICOS DE INTERNET TANABI LTDA.;02/03/2011;Tanabi;SP
SOLUCIONANDO AUTOMAÇÃO COMERCIAL LTDA - ME;14/05/2015;Uruaçu;GO
SOLUCOES CC TELECOMUNICAÇÕES LTDA ME;21/02/2013;Júlio de Castilhos;RS
SOLUCOES EM TECNOLOGIA E SISTEMAS GLAUTIER EIRELI - EPP;21/03/2017;Ananindeua;PA
SOLUTION COMPUTADORES E COMUNICACOES LTDA - ME;07/06/2017;Tianguá;CE
SOLUTION INFORMATICA E TELECOMUNICACOES LTDA - ME;27/03/2008;Parintins;AM
SOLUTIONIP EQUIPAMETOS DE INFORMÁTICA E TELEFONIA LTDA - ME;04/03/2015;Joanópolis;SP
SOMA COMÉRCIO E SERVIÇOS DE TELECOMUNICAÇÕES LTDA ME;25/02/2009;Nova Glória;GO
SOMA INVESTIMENTOS - SERVICO DE VOZ DIGITAL LTDA ;25/01/2012;Porto Alegre;RS
SONIA MARIA SANTOS CARVALHO - ME;14/12/2016;Almenara;MG
SONIC TELECOMUNICACOES LTDA - ME ;20/06/2011;Imbituba;SC
SORRISO INTERNET LTDA;23/09/2008;Sorriso;MT
SOS PROVEDOR SERVICOS COMUNICACAO EIRELI - ME;30/11/2015;Brasília;DF
Sothis Técnologia e Serviços de Telecomunicações Ltda;09/07/2010;São Paulo;SP
SOURCE CONNECT TELECOMUNICAÇÕES EIRELI - ME;25/08/2014;Recife;PE
SOUSATEC . NET LTDA - ME;06/08/2014;Acauã;PI
SOUZA & CARDOSO TELECOMUNICACAO LTDA - ME;31/05/2017;Correntina;BA
SOUZA & SANTIAGO LTDA;04/02/2010;Nazaré;BA
SOUZA ALVES & LANZANI   LTDA;06/09/2011;Pimenta Bueno;RO
SOUZA CORTES ELETRO ELETRONICO LTDA ME;10/04/2012;Jaguaquara;BA
SOUZA E COUTO EMPREENDIMENTOS LTDA - ME;12/01/2012;Carmópolis;SE
SOUZA E DAVILA SERVICOS EM TECNOLOGIA DA INFORMACAO LTDA - ME;24/09/2013;Tabatinga;AM
SP TELECOMUNICAÇÕES LTDA;15/01/2009;Guaraí;TO
SP2 TELECOM LTDA ME;12/05/2010;Leme;SP
SPACE NET SERVICOS DE TELECOMUNICACAO EM INFORMATICA LTDA-ME;23/07/2012;Sete Lagoas;MG
SPEAKERS PROJETOS E EXECUCOES EM AUDIO LTDA;04/09/2007;Santa Maria;RS
SPEED CONECTE SERVIÇOS DE INTERNET LTDA - ME;11/05/2016;Sapezal;MT
SPEED CONNECT - TECNOLOGIA E EQUIPAMENTOS LTDA;04/02/2010;Imperatriz;MA
SPEED FIBER CONNECTION LTDA - ME;29/09/2017;São Bernardo do Campo;SP
SPEED LINE TELECOMUNICAÇÕES LTDA ME;19/07/2011;Bezerros;PE
SPEED LINK EIRELI - ME;08/06/2017;Eldorado do Carajás;PA
SPEED MAX PROVEDOR DE INTERNET WIRELESS LTDA ME;13/12/2011;Contagem;MG
SPEED MAX TELECOMUNICAÇÕES  LTDA  ME;25/11/2011;Campos Gerais;MG
SPEED MG TELECOM LTDA - ME;19/11/2015;Timóteo;MG
SPEED NET COMERCIO E SERVICOS DE INFORMATICA LTDA - ME;09/09/2014;Serrinha;BA
SPEED NET INFORMÁTICA LTDA;02/03/2011;Pontalina;GO
SPEED NET PROVEDOR DE INTERNET LTDA ME;28/07/2010;Jandaia do Sul;PR
SPEED NET SERVIÇOS DE TELECOMUNICAÇÕES LTDA;24/12/2013;Anápolis;GO
SPEED PLANET TELECOMUNICACOES LTDA - ME;23/09/2009;Montanha;ES
SPEED PONTO NET SERVICOS DE INFORMATICA LTDA - ME;18/04/2017;Itaporanga d'Ajuda;SE
SPEED TELECOM LTDA - ME;03/12/2014;Aracaju;SE
SPEED TRAVEL COMUNICACAO MULTIMIDIA LTDA - ME;30/05/2011;Cacoal;RO
SPEED TURBO TELECOM LTDA - ME;14/11/2011;Posse;GO
SPEED VALLEY TECNOLOGIA E SERVICOS DE TELECOMUNICACAO EIRELI - EPP;26/09/2016;Barra do Piraí;RJ
SPEED WEB NET TELECOMUNICACOES LTDA;04/02/2015;Nova Iguaçu;RJ
SPEED WIRELESS SERVICOS DE COMUNICACAO MULTIMIDIA LTDA - ME ;18/07/2014;Manaus;AM
SPEEDBIT TELECOMUNICAÇÕES LTDA;26/06/2009;Oriximiná;PA
SPEEDCONECT SERVICOS E TECNOLOGIA LTDA - ME;06/02/2017;Seabra;BA
SPEEDFAST TELECON LTDA - ME ;18/09/2015;Salvador;BA
SPEEDIRECT TELECOMUNICACOES LTDA  - ME;18/01/2017;Severiano Melo;RN
SPEEDNET ALLIANCE PROVEDOR DE INTERNET LTDA - ME;08/07/2016;Pojuca;BA
SPEEDNET LTDA - EPP;27/05/2014;Tomé-Açu;PA
SPEEDNET PROVEDOR DE ACESSO A INTERNET LTDA;14/07/2011;Natal;RN
SPEEDNET SERVICOS & INFORMATICA LTDA ;16/09/2010;Bonfinópolis;GO
SPEEDNET TECNOLOGIA DIGITAL LTDA - ME;01/04/2016;Fátima do Sul;MS
SPEEDNET TELECOM EIRELI - ME;18/05/2017;Jataí;GO
SPEEDNET TELECOM SERVIÇOS LTDA - ME;14/11/2016;Maceió;AL
SPEEDNET TELECOMUNICACAO LTDA  - ME;21/09/2011;Belo Horizonte;MG
SPEEDNET TELECOMUNICAÇÕES LTDA ME;07/01/2015;Ibirité;MG
SPEEDNETMAIS TELECOMUNICAÇÕES LTDA - ME;14/07/2014;Brasília;DF
SPEEDSERVICE TELECOMUNICAÇÕES LTDA;16/06/2008;Iraí;RS
SPEEDT INTELIGENCIA EM TECNOLOGIA EIRELI - EPP;01/02/2017;Chapecó;SC
SPEEDWAN COMUNICACOES E MULTIMIDIA LTDA;12/09/2012;Feira de Santana;BA
SPEEDY TECH INFORMATICA LTDA - ME;25/10/2013;Almenara;MG
SPEEDYBEL TELECOMUNICAÇOES LTDA ME ;31/10/2012;São José do Belmonte;PE
SPEEDZONE TELECOMUNICAÇÕES LTDA - ME;16/09/2010;Salvador;BA
SPEET SERVICOS DE TELECOMUNICACOES LTDA;20/02/2009;Passa Quatro;MG
SPIDER NET SERVIÇOS DE INFORMÁTICA LTDA - ME;08/09/2014;Brasília;DF
SPIDERNET SERVIÇOS DE INTERNET LTDA ME;13/08/2015;Campo Grande;MS
SPIN TELECOMUNICACOES E REPRESENTACOES LTDA;07/03/2008;São Paulo;SP
SPINT PROVEDOR DE INTERNET LTDA;05/08/2008;Pilar do Sul;SP
SPLICE INDUSTRIA COMERCIO E SERVIÇOS LTDA;26/03/2008;Votorantim;SP
SPOSTO E SILVA COMERCIO DE COMPUTADORES E INFORMATICA LTDA - EPP;07/12/2016;Praia Grande;SP
SPOT SOLUTION TECNOLOGIA EM INTERNET LTDA - ME;17/10/2016;Moreno;PE
SPRINT BRASIL SERVICOS DE TELECOMUNICACOES LTDA.;25/09/2007;São Paulo;SP
SQUID NET TELECOMUNICAÇÕES LTDA - ME;20/11/2013;Rio Largo;AL
SRD TELECOM EIRELI - ME;09/06/2017;Fortaleza;CE
SRMINAS LTDA ME;30/08/2012;São Roque de Minas;MG
SS TELECOM LTDA - ME;22/07/2016;Gonçalves;MG
SSEM SERVICOS SISTEMAS E MULTIMIDIA LTDA;24/05/2013;Rio de Janeiro;RJ
SSM TELECOM E SERVICOS LTDA - ME;24/04/2017;Guamaré;RN
SSNET TELECOM LTDA  - ME;28/11/2016;Ponto Belo;ES
SSP NET TELECOMUNICAÇÕES LTDA. - ME;17/03/2009;Pontes e Lacerda;MT
SSTV - SISTEMA SUL DE TELEVISÃO LTDA;16/09/2010;Tubarão;SC
ST SOLUÇÕES EM TECNOLOGIA LTDA ME;08/01/2013;Capão Bonito;SP
STA TELECOM LTDA - ME;14/09/2016;Jaguarão;RS
STAFF COMPUTER LTDA;27/01/2010;Rio Branco;AC
STAFF INFORMATICA LTDA - ME;24/02/2017;Brasília;DF
STAR CONECT TELECOM LTDA;10/06/2009;Currais Novos;RN
STAR CONSTRUCOES & EMPREENDIMENTOS LTDA ;26/07/2006;Parnamirim;RN
STAR LINE TELECOMUNICACOES LTDA ME;10/04/2012;Brasília;DF
STAR LYNK INTERNET E INFORMATICA LTDA - ME;31/01/2017;Navegantes;SC
STAR MAN NET PROVEDORA DE INTERNET LTDA - EPP;22/07/2010;Bragança Paulista;SP
STAR NET COMUNICAÇÃO MULTIMÍDIA LTDA - ME;28/12/2010;Limeira;SP
STAR NET DIVINO LTDA ME;03/08/2010;Divino;MG
STARCAMP SERVICOS EM TELECOMUNICACOES EIRELI - EPP;28/07/2016;Campinas;SP
STARNET LTDA - ME;22/12/2016;João Pessoa;PB
STARNET TELECOMUNICACOES LTDA - ME;22/05/2009;Atibaia;SP
STARSAT TELECOM COMERCIO E SERVICOS LTDA - ME;30/04/2013;Quissamã;RJ
START TELECOMUNICACOES EIRELI - EPP;14/07/2014;Murici;AL
STARTEC INFORMATICA E SUPRIMENTOS LTDA;22/09/2009;Santa Cecília;SC
STARTNET COMERCIO E SERVICOS DE INFORMATICA LTDA - ME;02/12/2015;Alagoinhas;BA
STARWEB TELECOMUNICACOES LTDA ME;17/11/2003;São Lourenço;MG
STASIAK E CIA LTDA - ME;28/10/2011;Caçador;SC
STATION NET PROVEDOR DE INTERNET E COMERCIO E SERVICOS DE INFORMATICA LTDA ME;26/06/2009;Duque de Caxias;RJ
STATION TELECOMUNICACOES LTDA;06/10/2010;Içara;SC
STATUS EQUIPAMENTOS DE TELECOMUNICACOES LTDA - EPP;01/10/2013;Jataí;GO
STAYNET SERVIÇOS DE INTERNET LTDA - ME;29/11/2005;Baturité;CE
STC SERVIÇOS EM COMUNICAÇÕES LTDA. - ME;09/09/2009;Araçatuba;SP
STCOM TELECOMUNICACOES EIRELI - ME;10/03/2017;Dois Irmãos;RS
STECOM - TELEINFORMATICA LTDA ME;20/08/2010;Guaratinguetá;SP
STEEL WEB PROVEDORES DE ACESSO LTDA - ME;07/04/2014;Mauá;SP
STELMAT TELEINFORMATICA LTDA;05/08/2008;Cuiabá;MT
STETNET TELECOM LTDA - ME;27/02/2009;Presidente Prudente;SP
STI TELECOM EIRELI - ME;04/09/2013;Santa Terezinha de Itaipu;PR
STILLO NET PROVEDOR LTDA - ME;01/07/2015;Brasília;DF
STIW SISTEMA DE TELECOMUNICACOES E INFORMATICA WIRELESS LTDA;12/02/2010;Capelinha;MG
STONE TECNOLOGIA EIRELE - EPP;01/07/2015;Belém;PA
STONE TELECOMUNICACOES LTDA ME ;11/01/2012;Pouso Alegre;MG
STRATUS TELECOMUNICAÇÕES LTDA - ME;12/12/2005;Campo Belo;MG
STRAUSKI & GALVAO LTDA ME;11/08/2015;Curitiba;PR
STTEL SISTEMAS DE TELEVISAO E TELECOM COMERCIO LTDA ME;15/08/2012;Vianópolis;GO
STV COMUNICAÇÕES S.A.;22/10/2013;Porto Alegre;RS
SUACUÍ INTERNET LTDA - ME;19/05/2014;Santa Maria do Suaçuí;MG
SUDOESTE TELECOM LTDA - ME;17/11/2010;Jequié;BA
SUDONET - INFORMATICA LTDA;04/06/2012;São João;PR
SUEDNET LTDA - ME;16/04/2010;Extrema;MG
SUELEN ROZADO PAZZINI - ME;23/04/2013;São Leopoldo;RS
SUL AMERICANA TECNOLOGIA E INFORMATICA LTDA;25/09/2007;Porto Alegre;RS
SUL CONECT TELECOM EIRELI;06/09/2016;Porto Alegre;RS
SUL DIGITAL INTERNET LTDA ME;11/05/2007;Cascavel;PR
SUL INTERNET EQUIPAMENTOS DE INFORMATICA LTDA - ME;17/11/2015;Bom Princípio;RS
SUL ONLINE TELECOM LTDA - EPP;02/07/2012;Araranguá;SC
SULBBS INFORMATICA LTDA. ME;23/09/2013;Araucária;PR
SULCATEL COMERCIO DE TELEFONIA  LTDA - ME;29/07/2014;Meleiro;SC
SULCOM INFORMATICA LTDA;17/01/2008;Palmeira das Missões;RS
SULMINASNET PROVEDOR DE INTERNET LTDA ME;22/07/2010;Carmo do Rio Claro;MG
SULMINET INFORMATICA LTDA ME;12/03/2009;Muzambinho;MG
SULNET RC INTERNET PROVIDER INFORMATICA LTDA ME;06/07/2010;Rio Claro;RJ
SULNET TELECOMUNICAÇÕES EIRELI - ME;14/11/2016;Paraíso do Tocantins;TO
SULVALE TELECOM LTDA;15/08/2012;Bela Vista do Toldo;SC
SUMITA TELECOMUNICAÇÕES LTDA - ME;08/01/2013;Mandaguari;PR
SUNWAY TELECOM LTDA - ME;22/09/2009;Peruíbe;SP
SUPER CABO TV CARATINGA LTDA;29/11/2010;Caratinga;MG
SUPER CONNECT TLELECOM LTDA ;31/01/2013;Olho d'Água das Flores;AL
SUPER I TELECOM LTDA - ME;04/10/2016;Governador Valadares;MG
SUPER MEGA INTERNET LTDA - ME;26/02/2014;Uberaba;MG
SUPER MÍDIA TV A CABO LTDA.;08/09/2008;Votorantim;SP
SUPER NET COMUNICACAO LTDA - ME;25/08/2011;Arapongas;PR
SUPER NORTE SERVICOS DE TELECOMUNICACOES E INTERNET EIRELI - ME;05/12/2016;Mangaratiba;RJ
SUPER NOVA TELECOM LTDA;28/11/2012;Barra Mansa;RJ
SUPER SUL SERVICOS DE TELECOMUNICACOES E INTERNET EIRELI - ME;13/12/2016;Angra dos Reis;RJ
SUPERA INFORMATICA LTDA - ME;13/04/2017;Porangatu;GO
SUPERCHIP TELECOMUNICACOES LTDA;24/01/2003;São Paulo;SP
SUPERCLIK  LTDA  ME;30/05/2011;Barra de São Francisco;ES
SUPERI TELECOMUNICACOES LTDA;13/12/2011;Ipameri;GO
SUPERIMAGEM TECNOLOGIA EM ELETRÔNICA LTDA.;16/03/2010;Angra dos Reis;RJ
SUPERLINE TELECOMUNICACOES LTDA ME;17/03/2009;Concórdia;SC
SUPERLUC INFORMATICA LTDA;02/10/2015;Guaporé;RS
SUPERNET INFORMATICA E SERVICOS LTDA - ME;29/06/2016;Areia Branca;RN
SUPERNET TELECOM LTDA - ME;25/03/2013;Camaragibe;PE
SUPERNOVA TELECOM EIRELI - ME;18/02/2016;Padre Paraíso;MG
SUPERNOVA TELECOM SERVIÇOS EM TELECOMUNICAÇÕES LTDA;31/08/2016;Campinas;SP
SUPERWEB INFORMATICA LTDA;20/11/2008;Congonhas;MG
SUPORT WEB TELECOMUNICAÇÕES LTDA;07/11/2011;Lagamar;MG
SUPORTE TECNOLOGIA E INSTALAÇÕES LTDA;17/01/2006;Betim;MG
SUPORTONLINE INFORMATICA LTDA - ME;03/02/2014;João Pinheiro;MG
SUPPLY NET SERVIÇOS LTDA - ME;22/02/2012;Palmeira dos Índios;AL
SUPPORT NET INFORMATICA LTDA;09/03/2007;São Vicente;SP
SUPRA TELECOMUNICACOES LTDA. - EPP;28/11/2016;Iacanga;SP
SUPRI NET SERVIÇOS E COMÉRCIO LTDA - ME;03/10/2016;Fortaleza;CE
SUPRITECH BURITI INFORMÁTICA LTDA - ME;31/01/2014;Buriti;MA
SUPRY NET COMÉRCIO DE PEÇAS E SERVIÇOS DE INFORMÁTICA LTDA - ME;30/11/2015;Nossa Senhora das Dores;SE
SURF NET PROVEDOR DE INTERNET LTDA.;22/12/2016;Dourados;MS
SURFIX TECNOLOGIA EM INTERNET LTDA;12/02/2009;Recife;PE
SUSAN C CORREIA PADILHA - ME;11/10/2013;Garanhuns;PE
SUSANE DOS SANTOS ZACARIN;16/07/2015;Aparecida d'Oeste;SP
SUSTENTA TELECOMUNICAÇOES LTDA ;13/12/2012;São Paulo;SP
SUZANO COMÉRCIO E TELECOMUNICAÇÕES LTDA - ME;08/07/2015;Suzano;SP
SUZIANI PERPETUA ZUCHI - ME;06/06/2014;Pindorama;SP
SVCNET - COMERCIO E SERVIÇOS PARA TELECOMUNICAÇÕES LTDA - ME;26/09/2016;Cambé;PR
SW INTERNET LTDA - ME;23/03/2015;Lauro de Freitas;BA
SW TELECOMUNICAÇÕES E INFORMÁTICA ITU LTDA - ME;29/11/2010;Itu;SP
SWW INFORMATICA LTDA - ME;22/04/2015;Faxinalzinho;RS
SYNC DO BRASIL TELECOM LTDA ;08/10/2012;São Paulo;SP
SYNCONTEL TELECOMUNICAÇÕES LTDA - ME;11/03/2015;Barreiras;BA
SYNDIGITAL TELECOMUNICAÇÕES LTDA - ME;22/07/2016;Barreiras;BA
SYSTEM COMPUTADORES LTDA - ME;30/11/2015;João Pinheiro;MG
SYSTEM HOUSE LTDA;29/11/2010;Santa Maria;RS
SYSTEMS & COMPUTERS COMERCIAL LTDA-EPP;06/04/2010;Guaratinguetá;SP
SYSVOIP TELECOMUNICACOES LTDA;19/07/2011;Sete Lagoas;MG
SZABO & BUHNEMANN LTDA - ME;20/12/2012;Pitanga;PR
T & I TELECOMUNICACOES LTDA - ME;23/08/2016;Goiânia;GO
T & S SERVICOS DE COMUNICACAO MULTIMIDIA LTDA ME;10/02/2014;Felipe Guerra;RN
T & T INTERNET LTDA;26/04/2011;Lambari;MG
T B K DA SILVA INTERNET - ME;17/11/2016;Camaquã;RS
T C CAMARGO GUAITA INTERNET  - ME;06/10/2016;Cambará;PR
T DA SILVA MEDEIROS TELECOMUNICAÇÕES E INFORMÁTICA;16/12/2015;São Benedito;CE
T DE OLIVEIRA FARIAS - ME;30/05/2017;Caxingó;PI
T F DA SILVA RAMOS TELECOMUNICAÇÕES E SISTEMAS - ME;25/08/2014;João Alfredo;PE
T G M ROSA INFORMÁTICA E INTERNET - ME;12/11/2015;Sertãozinho;SP
T J COMUNICACOES LTDA - ME;12/08/2011;Coxim;MS
T M S MULTIMÍDIA EIRELI - ME;06/08/2015;Juiz de Fora;MG
T N S DOS SANTOS PROVEDORES DE ACESSO AS REDES DE COMUNICACOES EIRELI - ME;31/10/2016;Natal;RN
T NET INTERNET E SOLUÇÕES LTDA;23/10/2013;Fortaleza;CE
T P P MATTOS - PIZZO SERVICOS EM TELECOMUNICACOES - ME;20/07/2016;Conceição de Macabu;RJ
T S DE MATOS TELECOMUNICAÇÕES EIRELI - ME;11/09/2015;Serra;ES
T. B. VALENTE & CIA LTDA - ME;19/08/2014;Bocaiúva do Sul;PR
T. DE S. ALENCAR - ME;13/02/2017;Lago dos Rodrigues;MA
T. F. FRANCO - COMUNICACAO - ME;17/02/2017;Ipatinga;MG
T. GARCIA COMUNICACOES - ME;27/01/2017;Bilac;SP
T. M. DA SILVA PROVEDOR - ME;03/03/2016;Maracanaú;CE
T. TELES LEITE TELECOMUNICACOES LTDA  - ME;21/06/2017;Rio das Ostras;RJ
T.A. LUIZ ELETRÔNICA EIRELI - ME;16/07/2014;Uruaçu;GO
T.C.A INFORMATICA LTDA - EPP;29/07/2014;Taquara;RS
T.F. RODRIGUES & CIA LTDA - ME;04/07/2016;Nova Andradina;MS
T.L. DA SILVA - REDE MEGANET TELECOM - ME;28/02/2014;Santa Cecília do Pavão;PR
TABOADO NET COMUNICAÇÕA E MULTIMÍDIA LTDA - ME;07/11/2013;Aparecida do Taboado;MS
TAC - COMERCIO DE CELULARES E INFORMATICA LTDA ME;13/12/2012;Jaguaruna;SC
TADEU A MARTINS DA FONSECA JÚNIOR - ME;20/08/2015;Paulista;PE
TADEU DONIZETI DE MIRANDA COMUNICACAO MULTIMIDIA - ME;18/08/2016;São Paulo;SP
Taiane dos Santos Silva  Comunicaçao ME;13/12/2012;Praia Grande;SP
TAIONET TELECOMUNICAÇÕES LTDA ME;22/02/2012;Taió;SC
TAIS MARQUES CERENTINI - EIRELI - ME;13/12/2016;Agudo;RS
TALKLINK INFORMATICA LTDA - EPP;01/06/2010;Rio Claro;SP
TAMAR COMÉRCIO DE EQUIPAMENTOS PARA INFORMÁTICA LTDA;22/10/2010;Uruguaiana;RS
TAMIOZZO & CAETANO LTDA-ME;16/04/2009;Maracaju;MS
TAQUARA INFORMÁTICA LTDA - ME;20/04/2016;Taquaritinga do Norte;PE
TARCISIO DANTAS RIBEIRO - ME;21/03/2017;Carinhanha;BA
TARCÍSIO SANTOS MOREIRA DOS SANTOS - ME;26/12/2014;Sidrolândia;MS
TARSILA NATALIA SIMOES DE SOUSA MEDEIROS;19/07/2011;Patos;PB
TASS TELECOM - SERVICOS DE TELECOMUNICACOES LTDA ;06/10/2011;Osasco;SP
TASSIO ALMIR BENITES CORREIA DE LIMA - ME;04/02/2015;Ponta Porã;MS
TATIANA DE ANDRADE;03/08/2016;Hortolândia;SP
TATIANE CRISTINO BEZERRA - ME;21/06/2017;Ibimirim;PE
TAVARES & ALMEIDA COMERCIO DE COMPUTADORES E PERIFERICOS LTDA ME;07/08/2009;Ouro Preto do Oeste;RO
TAVARES & REPOLHO LTDA - ME;26/12/2014;Jacareacanga;PA
TB LINK TELECOMUNICAÇOES LTDA;20/08/2010;Monte Mor;SP
TBN TELECOMUNICACOES LTDA - ME;15/12/2016;Jataí;GO
TBNET COMERCIO, LOCACAO E ADMINISTRACAO LTDA;30/08/2012;Barueri;SP
TBNET INFORMATICA LTDA;12/11/2014;Igarassu;PE
TBONET - SERVIÇOS DE INFO0RMÁTICA E COMUNIAÇÕES LTDA - ME;02/09/2013;Timbó;SC
TC CONECTA SERVICOS DE TELECOMUNICACOES E PROVEDORES LTDA - ME;28/09/2009;Três Corações;MG
TC PROVEDOR DE INTERNET   LTDA  ME;11/07/2011;Bastos;SP
TCD PROCESSAMENTO DE DADOS LTDA;30/05/2011;Curitiba;PR
TCE TELECOMUNICAÇÕES E COMÉRCIO LTDA;18/07/2006;Belo Horizonte;MG
TCF - TELECOMUNICAÇÕES CAMPO FLORIDO LTDA.;11/03/2010;Conceição das Alagoas;MG
Tchê Telecom Tecnologia de Base Ltda.;27/05/2008;Erechim;RS
TCHETURBO PROVEDOR DE INTERNET LTDA;04/10/2007;Frederico Westphalen;RS
TCPNET-INFORMATICA E COMUNICACAO MULTIMIDIA LTDA - ME ;21/09/2011;Glicério;SP
TCR - TELECOMUNICAÇÕES DA CIDADE DO RIO S/A;26/09/2013;Rio de Janeiro;RJ
TDF PROVIDER SERVIÇOS EM INFORMATICA LTDA - ME;24/04/2008;Teixeira de Freitas;BA
TDF SERVIÇOS DE COMUNICAÇÃO LTDA - ME;26/12/2014;São José;SC
TDKOM INFORMATICA LTDA;30/07/2002;Ourinhos;SP
TDNET TELECOMUNICACOES LTDA;07/07/2008;Viçosa;MG
TEC NET PROVEDOR LTDA - ME;04/07/2016;Colatina;ES
TEC NET PROVEDOR TELECOM LTDA ME;13/07/2012;Juiz de Fora;MG
TEC SYSTEM SISTEMAS ELETRONICOS LTDA;16/06/2008;Sapiranga;RS
TECBUY TELECOMUNICACOES LTDA  - ME;24/11/2016;Jundiaí;SP
TECEL SERVICOS DE INTERNET LTDA - ME;31/01/2013;Crateús;CE
TECH HOUSE SERVIÇOS DE COMUNICAÇÃO LTDA;30/11/2012;Três Rios;RJ
TECH WORLD - SOLUCOES EM INTERNET LTDA  - ME;21/06/2017;Catanduva;SP
TECH3 - SOLUCOES TECNOLOGICAS EM INFORMATICA LTDA ME;28/12/2010;Campo Grande;MS
TECHCOM COMUNICAÇÃO,COMERCIO E SERVIÇOS LTDA-ME;31/10/2012;Mauá;SP
TECHDEC INFORMÁTICA LTDA;24/03/2005;Glorinha;RS
TECHINFO INFORMATICA LTDA ME;31/10/2012;Guaraciaba;SC
TECHLINK TELECOMUNICAÇÕES LTDA - ME;26/12/2014;Araguari;MG
TECHNET COMUNICAO DE MULTIMIDIA LTDA - ME;04/04/2017;Barra Mansa;RJ
TECHNET DE IPIRA LTDA - ME;22/12/2016;Ipirá;BA
TECHNET INFORMATICA LTDA;17/11/2010;Capim Grosso;BA
TECH-NET LTDA;19/05/2010;Alexânia;GO
TECHNET NETWORKS LTDA - ME;24/03/2011;Iporá;GO
TECHNICAL SOLUCOES EM INFORMATICA LTDA;04/08/2011;Campina Grande;PB
TECHNIK INFORMATICA LTDA - ME;19/06/2015;Capivari de Baixo;SC
TECHNOLOGY SERVIÇOS DE COMUNICAÇÃO MULTIMÍDIA LTDA - ME;11/03/2015;Tangará;RN
TECHS NET EIRELI - EPP;30/08/2012;Araraquara;SP
TECHS TECNOLOGIA EM HARDWARE E SOFTWARE LTDA. - EPP;11/11/2009;Araraquara;SP
TECKLINK NET TELECOMUNICAÇÕES EIRELI - EPP;18/03/2013;Itu;SP
TECLENET TELECOMUNICAÇÕES EIRELI;03/11/2008;Forquilhinha;SC
TECLENET TELECOMUNICACOES LTDA ME;06/07/2010;Teresina;PI
TECMIDIAWEB EIRELI;15/01/2009;Arroio dos Ratos;RS
TECNET PROVEDOR DE ACESSO AS REDES DE COMUNICACAO EIRELI - ME;27/04/2012;Caucaia;CE
TECNICA TELECOM E NETWORK LTDA ME;26/03/2013;Camacan;BA
TECNOASP TECNOLOGIA E SERVICOS DE COMUNICACAO LTDA.;29/08/2008;Salvador;BA
TECNOHELP NET SERVICOS DE INFORMATICA LTDA - ME;31/10/2016;Mar de Espanha;MG
TECNOHELP TECNOLOGIA ELETRONICA LTDA;17/01/2003;Florianópolis;SC
TECNOLIFE WIFI COMUNICAÇÕES EIRELI - ME;31/07/2014;São Mateus;ES
TECNOLOGIA IP LTDA;14/06/2007;Rio de Janeiro;RJ
